# hebrew versification -> KJV standard; single-verse diffs only (identity elsewhere). Source: STEPBible TVTMS (CC-BY). shoresh versification.build
source_ref	standard_ref	action
1SA 24:4	1SA 24:3	Renumber verse
1SA 24:5	1SA 24:4	Renumber verse
1SA 24:6	1SA 24:5	Renumber verse
1SA 24:7	1SA 24:6	Renumber verse
1SA 24:8	1SA 24:7	Renumber verse
1SA 24:9	1SA 24:8	Renumber verse
2CH 13:23	2CH 14:1	Renumber verse
2CH 14:1	2CH 14:2	Renumber verse
2CH 14:10	2CH 14:11	Renumber verse
2CH 14:11	2CH 14:12	Renumber verse
2CH 14:12	2CH 14:13	Renumber verse
2CH 14:13	2CH 14:14	Renumber verse
2CH 14:14	2CH 14:15	Renumber verse
2CH 14:2	2CH 14:3	Renumber verse
2CH 14:3	2CH 14:4	Renumber verse
2CH 14:4	2CH 14:5	Renumber verse
2CH 14:5	2CH 14:6	Renumber verse
2CH 14:6	2CH 14:7	Renumber verse
2CH 14:7	2CH 14:8	Renumber verse
2CH 14:8	2CH 14:9	Renumber verse
2CH 14:9	2CH 14:10	Renumber verse
2CH 1:18	2CH 2:1	Renumber verse
2CH 2:1	2CH 2:2	Renumber verse
2CH 2:10	2CH 2:11	Renumber verse
2CH 2:11	2CH 2:12	Renumber verse
2CH 2:12	2CH 2:13	Renumber verse
2CH 2:13	2CH 2:14	Renumber verse
2CH 2:14	2CH 2:15	Renumber verse
2CH 2:15	2CH 2:16	Renumber verse
2CH 2:16	2CH 2:17	Renumber verse
2CH 2:17	2CH 2:18	Renumber verse
2CH 2:2	2CH 2:3	Renumber verse
2CH 2:3	2CH 2:4	Renumber verse
2CH 2:4	2CH 2:5	Renumber verse
2CH 2:5	2CH 2:6	Renumber verse
2CH 2:6	2CH 2:7	Renumber verse
2CH 2:7	2CH 2:8	Renumber verse
2CH 2:8	2CH 2:9	Renumber verse
2CH 2:9	2CH 2:10	Renumber verse
2KI 12:1	2KI 11:21	Renumber verse
2KI 12:10	2KI 12:9	Renumber verse
2KI 12:11	2KI 12:10	Renumber verse
2KI 12:12	2KI 12:11	Renumber verse
2KI 12:13	2KI 12:12	Renumber verse
2KI 12:14	2KI 12:13	Renumber verse
2KI 12:15	2KI 12:14	Renumber verse
2KI 12:16	2KI 12:15	Renumber verse
2KI 12:17	2KI 12:16	Renumber verse
2KI 12:18	2KI 12:17	Renumber verse
2KI 12:19	2KI 12:18	Renumber verse
2KI 12:2	2KI 12:1	Renumber verse
2KI 12:20	2KI 12:19	Renumber verse
2KI 12:21	2KI 12:20	Renumber verse
2KI 12:22	2KI 12:21	Renumber verse
2KI 12:3	2KI 12:2	Renumber verse
2KI 12:4	2KI 12:3	Renumber verse
2KI 12:5	2KI 12:4	Renumber verse
2KI 12:6	2KI 12:5	Renumber verse
2KI 12:7	2KI 12:6	Renumber verse
2KI 12:8	2KI 12:7	Renumber verse
2KI 12:9	2KI 12:8	Renumber verse
2SA 19:1	2SA 18:33	Renumber verse
2SA 19:10	2SA 19:9	Renumber verse
2SA 19:11	2SA 19:10	Renumber verse
2SA 19:12	2SA 19:11	Renumber verse
